Date_time,PM25,PM10,NO2,O3,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-05-16,26.41,47.21,59.33,110.5,0,2,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-17,17.53,41.03,48.0,90.0,0,2,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-18,18.95,40.52,50.0,78.0,0,2,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-19,21.47,43.69,45.5,98.5,0,2,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-20,27.6,43.27,49.5,116.0,0,2,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-21,17.77,28.85,72.0,111.0,0,2,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-22,22.92,41.13,102.75,131.0,0,2,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-23,32.98,56.02,54.33,94.5,0,2,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-24,26.88,46.3,66.25,128.5,0,2,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-05-25,20.37,41.22,80.5,114.5,0,2,0.8660254037844388,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0
2018-05-26,15.19,27.08,52.25,109.0,0,2,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0
2018-05-27,14.49,25.09,77.75,131.0,0,2,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-28,13.8,30.08,80.0,109.0,0,2,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-29,14.11,26.73,66.0,76.5,0,1,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-30,14.28,30.79,59.75,88.5,0,1,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-31,13.42,26.92,52.5,82.0,0,1,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-06-01,12.55,22.52,58.5,74.0,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-02,14.32,22.17,46.75,93.5,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-03,12.74,20.65,45.5,95.5,0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-04,20.1,36.85,66.25,99.5,0,2,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-05,29.6,45.74,58.25,80.0,0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-06,27.73,43.41,79.75,55.5,0,2,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-07,13.98,25.15,70.75,88.0,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-08,16.92,38.0,61.75,88.5,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-09,36.37,51.42,58.25,88.5,0,2,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-10,38.81,54.56,52.0,77.0,0,2,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-11,28.57,46.92,70.75,56.5,0,2,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-12,16.13,27.02,50.0,74.5,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-13,10.74,24.27,63.5,67.5,0,1,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-14,13.29,25.39,58.25,74.5,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-15,13.73,30.37,55.0,88.0,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-16,11.87,22.38,42.5,88.5,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-17,9.62,17.9,41.5,73.0,0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-18,9.97,25.37,42.75,67.5,0,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-19,12.3,28.64,45.0,61.0,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-20,13.87,37.84,63.5,102.0,0,2,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-21,10.39,34.85,37.25,80.5,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-22,10.3,34.39,62.0,83.5,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
