Date_time,PM25,PM10,NO2,Pollution_peak,ATMO,sin_Month,cos_Month,sin_day,cos_day,confinement
2018-05-27,16.0,29.58,76.0,0,1,0.8660254037844388,-0.4999999999999998,-0.9749279121818235,-0.2225209339563146,0
2018-05-28,15.95,36.31,86.67,0,1,0.8660254037844388,-0.4999999999999998,-0.7818314824680297,0.6234898018587336,0
2018-05-29,15.55,30.82,71.67,0,1,0.8660254037844388,-0.4999999999999998,0.0,1.0,0
2018-05-30,14.77,30.99,64.33,0,1,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,0
2018-05-31,13.22,29.54,66.33,0,1,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0
2018-06-01,10.15,18.1,80.0,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-02,12.36,23.57,70.67,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-03,11.93,25.13,66.33,0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-04,19.86,36.27,69.0,0,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-05,28.69,42.31,61.0,0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-06,23.44,39.15,105.0,0,2,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-07,10.99,24.96,86.0,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-08,17.11,34.62,77.33,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-09,32.01,46.83,66.0,0,2,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-10,35.61,49.92,64.33,0,2,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-11,24.21,42.93,68.0,0,2,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-12,13.96,26.11,65.67,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-13,9.5,22.45,73.67,0,1,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-14,13.41,29.25,74.67,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-15,10.12,18.72,61.5,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-16,7.79,15.08,43.67,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-17,7.23,11.82,26.67,0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-18,6.22,10.77,49.67,0,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-19,9.2,16.28,52.0,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-20,11.71,20.74,63.33,0,1,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-21,8.88,16.25,31.33,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-22,8.42,17.18,60.33,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-23,13.46,23.35,64.67,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-06-24,10.9,19.58,40.67,0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818235,-0.2225209339563146,0
2018-06-25,11.13,21.5,55.67,0,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680297,0.6234898018587336,0
2018-06-26,13.77,25.89,71.33,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0
2018-06-27,16.88,30.6,70.33,0,1,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,0
2018-06-28,14.99,28.67,74.33,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0
2018-06-29,15.86,30.21,79.0,0,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0
2018-06-30,17.67,30.0,81.0,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0
2018-07-01,17.46,28.21,66.67,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-02,15.57,28.11,101.67,0,2,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-03,7.72,15.74,81.67,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-07-04,8.84,19.82,71.0,0,1,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,0
2018-07-05,14.23,25.63,82.33,0,1,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0
2018-07-06,14.74,24.91,92.67,0,2,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0
2018-07-07,18.16,27.92,90.0,0,2,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0
2018-07-08,18.46,30.28,85.67,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-09,10.92,21.84,61.33,0,1,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-10,8.91,17.32,37.0,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-07-11,11.76,21.11,45.33,0,1,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,0
2018-07-12,15.65,28.63,58.67,0,1,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0
2018-07-13,16.83,29.46,94.5,0,2,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0
2018-07-14,20.34,31.5,81.0,0,2,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0
2018-07-15,16.37,26.46,78.33,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-16,13.07,26.2,85.33,0,1,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-17,7.12,16.14,44.0,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-07-18,12.32,29.03,74.33,0,1,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,0
2018-07-19,13.94,38.48,75.0,0,1,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0
2018-07-20,11.08,26.78,96.33,0,2,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0
2018-07-21,12.95,25.38,42.0,0,1,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0
2018-07-22,14.96,26.48,57.67,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-23,17.81,37.35,115.0,0,2,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-24,17.55,44.32,103.33,0,2,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-07-25,16.1,39.54,130.0,0,2,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,0
2018-07-26,25.1,48.78,181.0,0,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0
2018-07-27,26.58,51.97,186.67,0,2,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0
2018-07-28,7.91,19.22,59.67,0,1,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0
2018-07-29,7.69,20.9,34.67,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146,0
2018-07-30,9.01,22.48,46.33,0,1,1.2246467991473532e-16,-1.0,-0.7818314824680297,0.6234898018587336,0
2018-07-31,4.21,12.84,34.33,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0
2018-08-01,10.62,26.18,91.0,0,2,-0.4999999999999998,-0.8660254037844388,0.7818314824680297,0.6234898018587336,0
2018-08-02,12.6,30.84,86.67,0,1,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0
2018-08-03,15.61,35.91,81.67,0,1,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0
2018-08-04,9.28,22.15,38.33,0,1,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0
2018-08-05,10.79,20.3,78.33,0,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818235,-0.2225209339563146,0
2018-08-06,10.81,24.71,106.0,0,2,-0.4999999999999998,-0.8660254037844388,-0.7818314824680297,0.6234898018587336,0
2018-08-07,15.58,40.81,88.0,0,2,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0
2018-08-08,8.4,19.67,30.0,0,1,-0.4999999999999998,-0.8660254037844388,0.7818314824680297,0.6234898018587336,0
2018-08-09,8.28,16.15,55.5,0,1,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0
2018-08-10,6.58,18.99,47.5,0,1,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0
2018-08-11,7.15,13.3,62.0,0,1,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0
2018-08-12,8.77,18.22,48.0,0,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818235,-0.2225209339563146,0
2018-08-13,5.19,11.77,31.5,0,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680297,0.6234898018587336,0
2018-08-14,6.83,12.88,24.5,0,1,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0
2018-08-15,8.35,15.5,67.33,0,1,-0.4999999999999998,-0.8660254037844388,0.7818314824680297,0.6234898018587336,0
2018-08-16,13.56,27.77,69.0,0,1,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0
2018-08-17,7.74,15.66,27.5,0,1,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0
2018-08-18,7.98,17.51,63.5,0,1,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0
2018-08-19,11.17,19.73,60.5,0,1,-0.4999999999999998,-0.8660254037844388,-0.9749279121818235,-0.2225209339563146,0
2018-08-20,5.4,11.71,51.0,0,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680297,0.6234898018587336,0
2018-08-21,11.43,23.08,75.5,0,1,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0
